# t,q1,q2,p1,p2,H
5.700950158359726627e-01,3.906686392333174607e-01,9.358743227794605879e-01,-8.395023466225403297e+00,-6.425584203573113662e+00,2.943000000000217753e+01
5.734289048174695536e-01,3.830995366313949546e-01,9.208652139375113066e-01,-8.402139184713604436e+00,-6.469333253494146341e+00,2.943000000000112948e+01
5.767627937989664444e-01,3.756372745052618534e-01,9.056486029869045273e-01,-8.409029681708528159e+00,-6.512552435731458367e+00,2.943000000000190042e+01
5.800966827804633352e-01,3.682838108394611010e-01,8.902245835613228353e-01,-8.415721552716064480e+00,-6.555210217069183720e+00,2.943000000000703054e+01
5.834305717619603371e-01,3.610410100360972319e-01,8.745933344152556632e-01,-8.422241311734973479e+00,-6.597275174983189494e+00,2.943000000000287031e+01
5.867644607434572279e-01,3.539106328653943701e-01,8.587551273267252094e-01,-8.428615302724661973e+00,-6.638716084794358707e+00,2.943000000000286320e+01
5.900983497249541188e-01,3.468943257150590154e-01,8.427103359126799642e-01,-8.434869607453086005e+00,-6.679502010424521075e+00,2.943000000000388638e+01
5.934322387064510096e-01,3.399936090999043370e-01,8.264594454255187461e-01,-8.441029949995359161e+00,-6.719602398490309270e+00,2.943000000000819938e+01
5.967661276879480114e-01,3.332098654075864586e-01,8.100030635854447159e-01,-8.447121598306093659e+00,-6.758987175321808039e+00,2.943000000000851202e+01
6.001000166694449023e-01,3.265443258551859462e-01,7.933419325057794458e-01,-8.453169263351506757e+00,-6.797626846428716618e+00,2.943000000000795424e+01
6.034339056509417931e-01,3.199980566411689265e-01,7.764769417572923160e-01,-8.459196996444864780e+00,-6.835492597782651281e+00,2.943000000000084881e+01
6.067677946324386840e-01,3.135719442834933313e-01,7.594091426106819309e-01,-8.465228085509137301e+00,-6.872556398203305328e+00,2.943000000000701633e+01
6.101016836139355748e-01,3.072666801504012613e-01,7.421397634792464837e-01,-8.471284951194723689e+00,-6.908791101930154888e+00,2.943000000001797289e+01
6.134355725954325766e-01,3.010827441952356742e-01,7.246702265787533515e-01,-8.477389043875994901e+00,-6.944170550376257189e+00,2.943000000005416084e+01
6.167694615769294675e-01,2.950203879406810281e-01,7.070021657776504043e-01,-8.483560742783966546e+00,-6.978669671817273823e+00,2.943000000003647898e+01
